[learnit]
[mode: verbs]
[delimiter: ;]

Lecke;Infinitiv;E/3;Präteritum;Perfekt;Jelentés;Egyéb
17;sich beschweren;beschwer sich;beschwerte sich;hat sich beschwert;panaszkodik;Dativ, bei + D
17;sich bewegen;bewegt sich;bewegte sich;hat sich bewegt;mozog;
17;sich engagieren;engagiert sich;engagierte sich;hat sich engagiert;igyekszik;
17;sich entschuldigen;entschuldigt sich;entschuldigte sich;hat sich entschuldigt;bocsánatot kér;
17;sich entspannen;entspannt sich;entspannte sich;hat sich entspannt;pihen;
17;sich legen;legt sich;legte sich;hat sich gelegt;lefekszik;
17;sich orientieren;orieniert sich;orientierte sich;hat sich orientiert;tájékozódik;
17;sich vorstellen;vorstellt sich;stellte sich vor;hat sich vorstellt;bemutatkozik;Dativ
17;sich wundern;wundert sich;wunderte sich;hat sich gewundert;csodálkozik;
17;sich ändern;ändert sich;änderte sich;hat sich geändert;változik;
17;springen;springt;sprang;ist gesprungen;ugrik;
17;sterben;stirbt;starb;ist gestorben;meghal;
17;stören;stört;störte;hat gestört;zavar;
17;zusehen;sieht zu;sah zu;hat zugesehen;figyel v-t;Dativ
18;anregen;regt an;regte an;hat angeregt;ösztönöz;
18;aufwachsen;wächst auf;wuchs auf;ist aufgewachsen;felnő;
18;ausdrücken;drückt aus;drückte aus;hat ausgedrückt;kifejez;
18;aussprechen;spricht aus;sprach aus;hat ausgesprochen;kiejt, kimond;
18;benutzen;benutzt;benutzte;hat benutzt;használ;
18;nachfragen;fragt nach;fragte nach;hat nachgefragt;kérdezősködik;
18;provozieren;provoziert;provozierte;hat geprovoziert;provokál;
18;rufen;ruft;rief;hat gerufen;kiált, szólít;
18;sich gewöhnen;gewöhnt sich;gewöhnte sich;hat gewöhnt;hozzászokik;an+A
18;speichern;speichert;speicherte;hat gespeichert;elment, raktároz;
18;sprühen;sprüht;sprühte;hat gesprüht;szór, permetez;
18;unterrichten;unterrichtet;unterrichtete;hat unterrichtet;tanít;
18;vergehen;vergeht;verging;ist vergangen;elmúlik;
18;vermissen;vermisst;vermisste;hat vermisst;hiányol;
18;zusammenfassen;fasst zusammen;fasste zusammen;hat zusammengefasst;összefoglal;
18;übersetzen;übersetzt;übersetzte;hat übersetzt;lefordít;
19;absagen;sagt ab;sagte ab;hat abgesagt;lemond v-t;
19;abschalten;schaltet ab;schaltete ab;hat abgeschaltet;lekapcsol;
19;ausmachen;macht aus;machte aus;hat ausgemacht;megegyezik;
19;ausziehen;zieht aus;zog aus;ist ausgezogen;elköltözik;
19;begrüßen;begrüßt;begrüßte;hat begrüßt;köszönt;
19;berechnen;berechnet;berechnete;hat berechnet;kiszámol;
19;besprechen;bespricht;besprach;hat besprochen;megbeszél;
19;bitten;bittet;bat;hat gebeten;kér;
19;duzen;duzt;duzte;hat geduzt;tegez;
19;entscheiden;entscheidet;entschied;hat entschieden;eldönt;
19;entwickeln;entwickt;entwickelte;hat entwickelt;fejleszt;
19;grüßen;grüßt;grüßte;hat gegrüßt;üdvözöl;
19;kopieren;kopiert;kopierte;hat kopiert;másol;
19;leihen;leiht;lieh;hat geliehen;kölcsönöz (ad, vesz);
19;leiten;leitet;leitete;hat geleitet;vezet, irányít;
19;managen;managt;managte;hat gemanagt;menedzsel;
19;mitteilen;mitteilt;teilte mit;hat gemitteilt;közöl akivel;Dativ
19;notieren;notiert;notierte;hat genotiert;jegyzetel;
19;renovieren;renoviert;renovierte;hat gerenoviert;felújít;
19;sich auskennen;kannt sich aus;kannte sich aus;hat sich ausgekannt;kiismeri magát;
19;siezen;siezt;siezte;hat gesiezt;magáz;
19;unterstützen;unterstützt;unterstützte;hat unterstützt;támogat;
19;weiterleiten;weiterleitet;leitete weiter;hat weitergeleitet;továbbít;
20;anerkennen;erkennt an;erkannte an;hat anerkannt;elismer;
20;bewerten;bewertet;bewertete;hat bewertet;értékel, becsül;
20;dokumentieren;dokumentiert;dokumentierte;hat dokumentiert;dokumentál;
20;fliehen;flieht;floh;ist geflohen;szökik, menekül;
20;hineinlegen;hineinlegt;legte hinein;hat gehineinlegt;betesz, beilleszt;
20;recyceln;recycelt;recycelte;hat recycelt;újrahasznosít;
20;sich einigen;einingt sich;einigte sich;hat sich geeinigt;megegyezik;
20;sich kennen;kennt sich;kannte sich;hat sich gekannt;ismerik egymást;
20;sich melden;meldet sich;meldete sich;hat sich gemelden;jelentkezik;
20;sich sehen;sieht sich;sah sich;hat sich gesehen;látják egymást;
20;sich verstehen;versteht sich;verstand sich;hat sich verstanden;értik egymást;
20;zuziehen;zieht zu;zog zu;ist zugezogen;oda-, hozzáköltözik;
