# [crablit]
# delim = ';'

# Bedeutung auf Ungarisch     ; Infinitiv, E/3, Präteritum, Perfekt 
cserél                        ; tauschen, tauscht, tauschte, hat getauscht 
kicserél                      ; austauschen, tauscht aus, tauschte aus, hat ausgetauscht 
megoszt                       ; teilen, teilt, teilte, hat geteilt 
telefonál                     ; telefonieren, telefoniert, telefonierte, hat telefoniert 
hord, visel                   ; tragen, trägt, trug, hat getragen 
edz                           ; trainieren, trainiert, trainierte, hat trainiert 
álmodik                       ; träumen, träumt, träumte, hat geträumt 
találkozik                    ; treffen, trifft, traf, hat getroffen 
találkozik v-vel              ; s. treffen, trifft s., traf s., hat s. getroffen 
iszik                         ; trinken, trinkt, trank, hat getrunken 
lép                           ; treten, tritt, trat, ist getreten 
fellép                        ; auftreten, tritt auf, trat auf, ist aufgetreten 
tornázik                      ; turnen, turnt, turnte, hat geturnt 
tesz, csinál                  ; tun, tut, tat, hat getan 
fájdalmat okoz                ; wehtun, tut weh, tat weh, hat wehgetan 
éjszakázik                    ; übernachten, übernachtet, übernachtete, hat übernachtet 
lefordít                      ; übersetzen, übersetzt, übersetzte, hat übersetzt 
átutal                        ; überweisen, überweist, überwies, hat überwiesen 
gyakorol                      ; üben, übt, übte, hat geübt 
átölel                        ; umarmen, umarmt, umarmte, hat umarmt 
szórakozik, beszélget         ; s. unterhalten, unterhält s., unterhielt s., hat s. unterhalten 
vállalkozik v-re              ; unternehmen, unternimmt, unternahm, hat unternommen 
tanít                         ; unterrichten, unterrichtet, unterrichtete, hat unterrichtet 
támogat                       ; unterstützen, unterstützt, unterstützte, hat unterstützt 
jobbít, javít                 ; verbessern, verbessert, verbesserte, hat verbessert 
eltölt                        ; verbringen, verbringt, verbrachte, hat verbracht 
pénzt keres                   ; Geld verdienen, verdient Geld, verdiente Geld, hat Geld verdient 
elmúlik                       ; vergehen, vergeht, verging, ist vergangen 
elfelejt                      ; vergessen, vergisst, vergaß, hat vergessen 
összehasonlít                 ; vergleichen, vergleicht, verglich, hat verglichen 
viselkedik                    ; s. verhalten, verhält s., verhielt s., hat s. verhalten 
elad                          ; verkaufen, verkauft, verkaufte, hat verkauft 
veszít                        ; verlieren, verliert, verlor, hat verloren 
hiányol                       ; vermissen, vermisst, vermisste, hat vermisst 
megért                        ; verstehen, versteht, verstand, hat verstanden 
értik egymást                 ; s. verstehen, versteht s., verstand s., hat s. verstanden 
bízik v-ben                   ; vertrauen, vertraut, vertraute, hat vertraut 
bemutatkozik                  ; s. vorstellen, vorstellt s., stellte s. vor, hat s. vorstellt 
felnő                         ; aufwachsen, wächst auf, wuchs auf, ist aufgewachsen 
felébred                      ; aufwachen, wacht auf, wachte auf, ist aufgewacht 
választ                       ; wählen, wählt, wählte, hat gewählt 
vándorol, túrázik             ; wandern, wandert, wanderte, ist gewandert 
bemelegít                     ; s. aufwärmen, wärmt s. auf, wärmte s. auf, hat s. aufgewärmt 
vár v-re, v-t                 ; warten, wartet, wartete, hat gewartet 
vár v-t                       ; warten, wartet, wartete, hat gewartet 
tud                           ; wissen, weiß, wusste, hat gewusst 
továbbít                      ; weiterleiten, leitet weiter, leitete weiter, hat weitergeleitet 
akar                          ; wollen, will, wollte, hat gewollt 
lesz, válik valamivé          ; werden, wird, wurde, ist geworden 
eldob                         ; wegwerfen, wirft weg, warf weg, hat weggeworfen 
lakik                         ; wohnen, wohnt, wohnte, hat gewohnt 
csodálkozik                   ; s. wundern, wundert s., wunderte s., hat s. gewundert 
kíván                         ; wünschen, wünscht, wünschte, hat gewünscht 
kockával dob, kockára vág     ; würfeln, würfelt, würfelte, hat gewürfelt 
mutat                         ; zeigen, zeigt, zeigte, hat gezeigt 
ruhadarabot felvesz, vonz     ; anziehen, zieht an, zog an, hat angezogen 
elköltözik                    ; ausziehen, zieht aus, zog aus, ist ausgezogen 
beköltözik                    ; einziehen, zieht ein, zog ein, ist eingezogen 
felöltözködik                 ; s. anziehen, zieht s. an, zog s. an, hat s. angezogen 
átköltözik                    ; umziehen, zieht um, zog um, ist umgezogen 
oda-, hozzáköltözik           ; zuziehen, zieht zu, zog zu, ist zugezogen 
                               
